country,membership
Switzerland,5
Iceland,5
Denmark,5
Norway,5
Canada,5
Finland,5
Netherlands,5
Sweden,5
New Zealand,5
Australia,5
Israel,0
Costa Rica,0
Austria,5
Mexico,0
United States,5
Brazil,0
Luxembourg,5
Ireland,5
Belgium,0
United Arab Emirates,5
United Kingdom,5
Oman,5
Venezuela,0
Singapore,5
Panama,0
Germany,5
Chile,0
Qatar,5
France,0
Argentina,0
Czech Republic,0
Uruguay,0
Colombia,0
Thailand,4
Saudi Arabia,0
Spain,0
Malta,5
Taiwan,0
Kuwait,0
Suriname,0
Trinidad and Tobago,0
El Salvador,2
Guatemala,0
Uzbekistan,0
Slovakia,2
Japan,0
South Korea,2
Ecuador,0
Bahrain,0
Italy,2
Bolivia,0
Moldova,2
Paraguay,0
Kazakhstan,0
Slovenia,0
Lithuania,2
Nicaragua,0
Peru,2
Belarus,0
Poland,0
Malaysia,0
Croatia,2
Libya,0
Russia,2
Jamaica,0
North Cyprus,0
Cyprus,0
Algeria,2
Kosovo,2
Turkmenistan,0
Mauritius,4
Hong Kong,5
Estonia,0
Indonesia,4
Vietnam,0
Turkey,2
Kyrgyzstan,4
Nigeria,1
Bhutan,4
Azerbaijan,2
Pakistan,3
Jordan,2
Montenegro,2
China,2
Zambia,1
Romania,2
Serbia,2
Portugal,0
Latvia,2
Philippines,0
Somaliland region,4
Morocco,2
Macedonia,2
Mozambique,1
Albania,2
Bosnia and Herzegovina,2
Lesotho,1
Dominican Republic,0
Laos,4
Mongolia,4
Swaziland,1
Greece,2
Lebanon,2
Hungary,2
Honduras,2
Tajikistan,1
Tunisia,2
Palestinian Territories,2
Bangladesh,3
Iran,4
Ukraine,2
Iraq,2
South Africa,1
Ghana,1
Zimbabwe,1
Liberia,1
India,3
Sudan,1
Haiti,4
Congo (Kinshasa),1
Nepal,4
Ethiopia,3
Sierra Leone,1
Mauritania,1
Kenya,4
Djibouti,3
Armenia,2
Botswana,1
Myanmar,4
Georgia,3
Malawi,3
Sri Lanka,4
Cameroon,1
Bulgaria,2
Egypt,2
Yemen,1
Angola,1
Mali,1
Congo (Brazzaville),1
Comoros,1
Uganda,1
Senegal,1
Gabon,2
Niger,1
Cambodia,4
Tanzania,1
Madagascar,3
Central African Republic,3
Chad,1
Guinea,3
Ivory Coast,1
Burkina Faso,1
Afghanistan,3
Rwanda,3
Benin,3
Syria,3
Burundi,3
Togo,3
